epoch,train_avg_loss,test_avg_loss
0,0.18732790648937225,0.16217659413814545
1,0.11120640486478806,0.09532339125871658
2,0.09444959461688995,0.09211742132902145
3,0.07162237167358398,0.09066633880138397
4,0.0709325298666954,0.07602270692586899
5,0.048526667058467865,0.07159526646137238
6,0.03698553517460823,0.07219038903713226
7,0.050204258412122726,0.06512660533189774
8,0.04999376833438873,0.06491228938102722
9,0.055857062339782715,0.06302136927843094
